                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68781,                 1.2931,                0.99281,                      1,                0.53286,                 0.9163,                0.78938,                0.69353,                   2.19,                0.90747,                0.06732,              0.0003301,              0.0003301
                      2,                 0.6263,                0.76416,                0.96956,                0.95584,                0.90833,                0.96029,                0.81976,                0.60705,                0.68808,                0.88696,               0.034318,             0.00066124,             0.00066124
                      3,                0.66172,                0.72234,                 1.0047,                0.93034,                0.77909,                0.88767,                0.73593,                0.69894,                0.91664,                0.95975,              0.0013138,             0.00099019,             0.00099019
                      4,                0.69394,                0.74009,                 1.0129,                0.85855,                0.91049,                0.90307,                0.72937,                0.69283,                0.97851,                0.89966,              0.0009901,              0.0009901,              0.0009901
                      5,                0.63436,                0.66695,                0.97839,                0.88077,                 0.9234,                0.95044,                0.81442,                0.56374,                0.70142,                0.85891,              0.0009868,              0.0009868,              0.0009868
                      6,                0.62235,                0.67276,                0.96579,                0.92682,                0.94982,                0.96661,                0.82452,                0.58479,                0.66945,                0.90759,              0.0009835,              0.0009835,              0.0009835
                      7,                0.64269,                0.63042,                0.98252,                0.98527,                  0.925,                0.96594,                0.85366,                0.55818,                0.57652,                0.88719,              0.0009802,              0.0009802,              0.0009802
                      8,                0.61779,                0.61367,                0.97907,                0.97395,                 0.9347,                0.97124,                0.82191,                0.58926,                0.54215,                0.88027,              0.0009769,              0.0009769,              0.0009769
                      9,                0.61191,                0.59056,                0.96736,                0.97055,                0.96667,                0.98045,                0.85524,                0.57868,                0.48981,                0.90491,              0.0009736,              0.0009736,              0.0009736
                     10,                0.58907,                0.54873,                0.95543,                0.94348,                0.94167,                0.95964,                0.80518,                0.61494,                0.54653,                0.87486,              0.0009703,              0.0009703,              0.0009703
                     11,                0.56822,                0.54153,                0.95188,                0.97225,                0.95833,                0.98761,                0.84975,                0.55161,                0.49016,                0.87091,               0.000967,               0.000967,               0.000967
                     12,                0.53853,                0.51128,                0.93976,                0.97176,                   0.95,                 0.9798,                0.87602,                0.51161,                0.48819,                0.84613,              0.0009637,              0.0009637,              0.0009637
                     13,                0.53384,                0.49388,                 0.9431,                0.95868,                0.96677,                0.98379,                0.87124,                0.47959,                0.45903,                   0.85,              0.0009604,              0.0009604,              0.0009604
                     14,                0.55476,                 0.5095,                0.93205,                0.98839,                0.93333,                0.98001,                0.85796,                0.51321,                0.44819,                0.84839,              0.0009571,              0.0009571,              0.0009571
                     15,                0.53067,                0.50001,                0.93403,                0.97453,                0.95669,                0.97641,                 0.8564,                0.53962,                0.45655,                0.87865,              0.0009538,              0.0009538,              0.0009538
                     16,                0.51241,                0.46367,                0.92124,                0.99134,                0.95377,                 0.9783,                0.88424,                 0.4902,                0.42149,                0.88198,              0.0009505,              0.0009505,              0.0009505
